indicator.tdat,indicator.name,old.name,old.name.fate,new.name.comment
BareSoilCover,Bare Soil (%),BareSoilCover_FH,modify,
TotalFoliarCover,Foliar Cover (%),TotalFoliarCover_FH,modify,
GapPct_25_50,Percent in Gaps 25-50 cm,GapPct_25_50,keep,
GapPct_51_100,Percent in Gaps 51-100 cm,GapPct_51_100,keep,
GapPct_101_200,Percent in Gaps 101-200 cm,GapPct_101_200,keep,
GapPct_200_plus,Percent in Gaps > 200 cm,GapPct_200_plus,keep,
GapPct_25_plus,Percent in Gaps > 25 cm,GapPct_25_plus,keep,
AH_NonNoxPerenForbCover,"Non-noxious Perennial Forb Cover (%, any hit)",NonInvPerenForbCover_AH,modify,
AH_NonNoxAnnForbCover,"Non-noxious Annual Forb Cover (%, any hit)",NonInvAnnForbCover_AH,modify,
AH_NonNoxPerenGrassCover,"Non-noxious Perennial Grass Cover (%, any hit)",NonInvPerenGrassCover_AH,modify,
AH_NonNoxAnnGrassCover,"Non-noxious Annual Grass Cover (%, any hit)",NonInvAnnGrassCover_AH,modify,
AH_NonNoxAnnForbGrassCover,"Non-noxious Annual Forb/Grass Cover (%, any hit)",NonInvAnnForbGrassCover_AH,modify,
AH_NonNoxPerenForbGrassCover,"Non-noxious Perennial Forb/Grass Cover (%, any hit)",NonInvPerenForbGrassCover_AH,modify,
AH_NonNoxSucculentCover,"Non-noxious Succulent Cover (%, any hit)",NonInvSucculentCover_AH,modify,
AH_NonNoxShrubCover,"Non-noxious Shrub Cover (%, any hit)",NonInvShrubCover_AH,modify,
AH_NonNoxSubShrubCover,"Non-noxious Sub-shrub Cover (%, any hit)",NonInvSubShrubCover_AH,modify,
AH_NonNoxTreeCover,"Non-noxious Tree Cover (%, any hit)",NonInvTreeCover_AH,modify,
AH_NoxPerenForbCover,"Noxious Perennial Forb Cover (%, any hit)",InvPerenForbCover_AH,modify,
AH_NoxAnnForbCover,"Noxious Annual Forb Cover (%, any hit)",InvAnnForbCover_AH,modify,
AH_NoxPerenGrassCover,"Noxious Perennial Grass Cover (%, any hit)",InvPerenGrassCover_AH,modify,
AH_NoxAnnGrassCover,"Noxious Annual Grass Cover (%, any hit)",InvAnnGrassCover_AH,modify,
AH_NoxAnnForbGrassCover,"Noxious Annual Forb/Grass Cover (%, any hit)",InvAnnForbGrassCover_AH,modify,
AH_NoxPerenForbGrassCover,"Noxious Perennial Forb/Grass Cover (%, any hit)",InvPerenForbGrassCover_AH,modify,
AH_NoxSucculentCover,"Noxious Succulent Cover (%, any hit)",InvSucculentCover_AH,modify,
AH_NoxShrubCover,"Noxious Shrub Cover (%, any hit)",InvShrubCover_AH,modify,
AH_NoxSubShrubCover,"Noxious Sub-shrub Cover (%, any hit)",InvSubShrubCover_AH,modify,
AH_NoxTreeCover,"Noxious Tree Cover (%, any hit)",InvTreeCover_AH,modify,
AH_SagebrushCover,"Sagebrush Cover (%, any hit)",SagebrushCover_AH,modify,
Hgt_Woody_Avg,Average Woody Height (cm),WoodyHgt_Avg,modify,
Hgt_Herbaceous_Avg,Average Herbaceous Height (cm),HerbaceousHgt_Avg,modify,
Hgt_Sagebrush_Live_Avg,Averge Live Sagebrush Shrub Height (cm),SagebrushHgt_Avg,modify,
Hgt_NonSagebrushShrub_Avg,Averge Non-Sagebrush Shrub Height (cm),OtherShrubHgt_Avg,modify,
